timestamp,robot_id,velocity,battery,temperature
2026-09-03T14:00:00.016Z,amr-01,0.927,95.9,31.2
2026-09-03T14:00:00.026Z,amr-02,1.366,57.7,34.1
2026-09-03T14:00:00.001Z,amr-03,1.048,87.8,36.3
2026-09-03T14:00:01.021Z,amr-01,0.836,95.7,31.1
2026-09-03T14:00:01.031Z,amr-02,1.586,57.3,34.0
2026-09-03T14:00:01.048Z,amr-03,1.384,87.6,36.7
2026-09-03T14:00:02.007Z,amr-01,0.895,95.5,31.2
2026-09-03T14:00:02.009Z,amr-02,1.213,57.0,33.9
2026-09-03T14:00:02.027Z,amr-03,1.149,87.5,37.0
2026-09-03T14:00:03.034Z,amr-01,0.683,95.4,31.3
2026-09-03T14:00:03.022Z,amr-02,1.318,56.6,34.2
2026-09-03T14:00:03.012Z,amr-03,0.937,87.3,37.2
2026-09-03T14:00:04.036Z,amr-01,0.701,95.3,31.8
2026-09-03T14:00:04.020Z,amr-02,1.404,56.3,34.1
2026-09-03T14:00:04.001Z,amr-03,0.975,87.1,37.2
2026-09-03T14:00:05.043Z,amr-01,0.710,95.2,32.1
2026-09-03T14:00:05.028Z,amr-02,1.124,55.9,34.2
2026-09-03T14:00:05.023Z,amr-03,1.073,86.9,37.4
2026-09-03T14:00:06.032Z,amr-01,1.078,95.0,32.1
2026-09-03T14:00:06.019Z,amr-02,1.384,55.6,34.2
2026-09-03T14:00:06.008Z,amr-03,1.139,86.7,37.7
2026-09-03T14:00:07.006Z,amr-01,0.802,94.8,32.3
2026-09-03T14:00:07.004Z,amr-02,1.220,55.2,34.3
2026-09-03T14:00:07.040Z,amr-03,1.180,86.5,37.9
2026-09-03T14:00:08.017Z,amr-01,1.082,94.7,32.0
2026-09-03T14:00:08.008Z,amr-02,1.412,54.9,34.5
2026-09-03T14:00:08.029Z,amr-03,1.099,86.4,38.2
2026-09-03T14:00:09.018Z,amr-01,0.461,94.6,31.7
2026-09-03T14:00:09.025Z,amr-02,1.233,54.6,34.3
2026-09-03T14:00:09.044Z,amr-03,1.157,86.2,38.1
2026-09-03T14:00:10.019Z,amr-01,0.744,94.4,31.8
2026-09-03T14:00:10.003Z,amr-02,1.494,54.3,34.3
2026-09-03T14:00:10.017Z,amr-03,1.103,86.0,38.4
2026-09-03T14:00:11.005Z,amr-01,0.778,94.3,31.8
2026-09-03T14:00:11.030Z,amr-02,1.468,53.9,34.5
2026-09-03T14:00:11.018Z,amr-03,1.309,85.8,38.9
2026-09-03T14:00:12.023Z,amr-01,0.737,94.1,31.8
2026-09-03T14:00:12.017Z,amr-02,nan,53.6,34.9
2026-09-03T14:00:12.001Z,amr-03,1.275,85.6,39.2
2026-09-03T14:00:13.027Z,amr-01,0.981,93.9,31.8
2026-09-03T14:00:13.043Z,amr-02,1.361,53.3,34.7
2026-09-03T14:00:13.008Z,amr-03,1.125,85.4,39.2
2026-09-03T14:00:14.016Z,amr-01,0.846,93.8,32.2
2026-09-03T14:00:14.042Z,amr-02,1.496,52.9,34.4
2026-09-03T14:00:14.011Z,amr-03,0.960,85.2,39.5
2026-09-03T14:00:15.001Z,amr-01,0.779,93.6,32.3
2026-09-03T14:00:15.047Z,amr-02,1.066,52.6,34.6
2026-09-03T14:00:15.047Z,amr-03,1.030,85.1,39.8
2026-09-03T14:00:16.009Z,amr-01,0.859,93.4,32.6
2026-09-03T14:00:16.042Z,amr-02,1.184,52.2,34.6
2026-09-03T14:00:16.004Z,amr-03,0.925,84.9,39.8
2026-09-03T14:00:17.037Z,amr-01,0.707,93.3,32.6
2026-09-03T14:00:17.016Z,amr-02,1.526,51.9,34.1
2026-09-03T14:00:17.020Z,amr-03,1.328,84.7,39.9
2026-09-03T14:00:18.006Z,amr-01,0.989,93.1,33.0
2026-09-03T14:00:18.007Z,amr-02,1.594,51.5,33.7
2026-09-03T14:00:18.017Z,amr-03,1.024,84.6,40.2
2026-09-03T14:00:19.048Z,amr-01,0.692,93.0,32.8
2026-09-03T14:00:19.021Z,amr-02,1.594,51.1,33.4
2026-09-03T14:00:19.012Z,amr-03,1.070,84.4,40.6
2026-09-03T14:00:20.012Z,amr-01,0.731,92.8,32.8
2026-09-03T14:00:20.017Z,amr-02,1.208,50.7,33.5
2026-09-03T14:00:20.021Z,amr-03,1.254,84.2,40.8
2026-09-03T14:00:21.026Z,amr-01,0.960,92.7,32.8
2026-09-03T14:00:21.000Z,amr-02,1.428,50.4,33.4
2026-09-03T14:00:21.036Z,amr-03,0.975,84.0,41.0
2026-09-03T14:00:22.027Z,amr-01,0.815,92.5,32.7
2026-09-03T14:00:22.012Z,amr-02,1.357,50.0,33.7
2026-09-03T14:00:22.028Z,amr-03,1.121,83.8,40.8
2026-09-03T14:00:23.030Z,amr-01,0.620,92.4,32.7
2026-09-03T14:00:23.022Z,amr-02,1.233,49.7,33.7
2026-09-03T14:00:23.034Z,amr-03,1.356,83.6,40.8
2026-09-03T14:00:24.027Z,amr-01,1.069,92.2,32.6
2026-09-03T14:00:24.006Z,amr-02,1.346,49.4,33.7
2026-09-03T14:00:24.003Z,amr-03,0.973,83.4,40.8
2026-09-03T14:00:25.007Z,amr-01,0.753,92.1,32.3
2026-09-03T14:00:25.044Z,amr-02,1.503,48.9,33.7
2026-09-03T14:00:25.019Z,amr-03,0.647,83.3,41.1
2026-09-03T14:00:26.008Z,amr-01,0.636,92.0,32.4
2026-09-03T14:00:26.009Z,amr-02,1.300,48.7,34.0
2026-09-03T14:00:26.027Z,amr-03,1.073,83.1,41.4
2026-09-03T14:00:27.031Z,amr-01,0.745,91.8,32.3
2026-09-03T14:00:27.039Z,amr-02,1.469,48.3,34.0
2026-09-03T14:00:27.001Z,amr-03,1.122,83.0,41.5
2026-09-03T14:00:28.021Z,amr-01,1.035,91.7,32.1
2026-09-03T14:00:28.007Z,amr-02,1.570,47.9,33.9
2026-09-03T14:00:28.004Z,amr-03,1.314,82.8,41.9
2026-09-03T14:00:29.003Z,amr-01,0.997,91.5,32.0
2026-09-03T14:00:29.004Z,amr-02,1.434,47.5,33.9
2026-09-03T14:00:29.022Z,amr-03,0.999,82.6,42.4
2026-09-03T14:00:30.013Z,amr-01,0.926,91.3,32.2
2026-09-03T14:00:30.005Z,amr-02,1.425,47.2,34.0
2026-09-03T14:00:30.015Z,amr-03,1.014,82.4,43.0
2026-09-03T14:00:31.025Z,amr-01,0.861,91.2,32.4
2026-09-03T14:00:31.012Z,amr-02,1.643,46.8,34.0
2026-09-03T14:00:31.009Z,amr-03,0.754,,43.4
2026-09-03T14:00:32.040Z,amr-01,0.640,91.1,32.5
2026-09-03T14:00:32.019Z,amr-02,1.171,46.4,34.0
2026-09-03T14:00:32.017Z,amr-03,1.216,82.1,43.4
2026-09-03T14:00:33.020Z,amr-01,0.771,90.9,32.5
2026-09-03T14:00:33.003Z,amr-02,1.393,46.1,33.9
2026-09-03T14:00:33.004Z,amr-03,1.265,81.9,43.3
2026-09-03T14:00:34.014Z,amr-01,0.806,90.8,32.7
2026-09-03T14:00:34.007Z,amr-02,1.289,45.7,33.9
2026-09-03T14:00:34.048Z,amr-03,0.993,81.7,43.6
2026-09-03T14:00:35.015Z,amr-01,0.796,90.6,32.7
2026-09-03T14:00:35.023Z,amr-02,1.300,45.4,34.0
2026-09-03T14:00:35.000Z,amr-03,1.094,81.5,43.9
2026-09-03T14:00:36.002Z,amr-01,0.926,90.5,32.7
2026-09-03T14:00:36.029Z,amr-02,1.154,45.1,33.9
2026-09-03T14:00:36.035Z,amr-03,1.208,81.3,44.1
2026-09-03T14:00:37.049Z,amr-01,0.942,90.3,32.9
2026-09-03T14:00:37.002Z,amr-02,1.562,44.7,33.6
2026-09-03T14:00:37.036Z,amr-03,1.131,81.1,44.3
2026-09-03T14:00:38.025Z,amr-01,0.938,90.1,32.6
2026-09-03T14:00:38.029Z,amr-02,1.578,44.3,33.4
2026-09-03T14:00:38.011Z,amr-03,1.179,81.0,44.6
2026-09-03T14:00:39.005Z,amr-01,0.898,90.0,32.4
2026-09-03T14:00:39.031Z,amr-02,1.327,44.0,33.2
2026-09-03T14:00:39.039Z,amr-03,1.098,80.8,44.6
2026-09-03T14:00:40.032Z,amr-01,0.000,89.9,32.5
2026-09-03T14:00:40.003Z,amr-02,1.376,43.7,33.5
2026-09-03T14:00:40.036Z,amr-03,1.273,80.6,44.9
2026-09-03T14:00:41.023Z,amr-01,0.000,89.9,32.1
2026-09-03T14:00:41.032Z,amr-02,1.475,43.3,33.6
2026-09-03T14:00:41.037Z,amr-03,1.035,80.4,45.4
2026-09-03T14:00:42.003Z,amr-01,0.000,89.8,32.4
2026-09-03T14:00:42.033Z,amr-02,1.354,43.0,33.9
2026-09-03T14:00:42.023Z,amr-03,1.334,80.2,46.0
2026-09-03T14:00:43.048Z,amr-01,0.000,89.8,32.3
2026-09-03T14:00:43.040Z,amr-02,1.561,42.6,33.8
2026-09-03T14:00:43.010Z,amr-03,1.197,80.0,46.2
2026-09-03T14:00:44.007Z,amr-01,0.000,89.7,32.2
2026-09-03T14:00:44.041Z,amr-02,1.087,42.3,33.8
2026-09-03T14:00:44.011Z,amr-03,1.239,79.9,46.4
2026-09-03T14:00:45.000Z,amr-01,0.000,89.7,32.2
2026-09-03T14:00:45.007Z,amr-02,1.327,42.0,34.0
2026-09-03T14:00:45.000Z,amr-03,1.101,79.7,46.3
2026-09-03T14:00:46.046Z,amr-01,0.000,89.6,31.7
2026-09-03T14:00:46.018Z,amr-02,0.970,41.7,34.4
2026-09-03T14:00:46.018Z,amr-03,0.992,104.2,46.6
2026-09-03T14:00:47.005Z,amr-01,0.000,89.6,31.6
2026-09-03T14:00:47.012Z,amr-02,1.382,41.4,34.7
2026-09-03T14:00:47.018Z,amr-03,1.400,79.3,46.8
2026-09-03T14:00:48.031Z,amr-01,0.000,89.5,31.3
2026-09-03T14:00:48.035Z,amr-02,1.632,41.0,34.8
2026-09-03T14:00:48.037Z,amr-03,1.024,79.2,47.0
2026-09-03T14:00:49.046Z,amr-01,0.000,89.5,31.4
2026-09-03T14:00:49.014Z,amr-02,1.372,40.7,34.3
2026-09-03T14:00:49.032Z,amr-03,1.040,79.0,47.5
2026-09-03T14:00:50.008Z,amr-01,0.000,89.4,31.5
2026-09-03T14:00:50.024Z,amr-02,1.461,40.2,34.7
2026-09-03T14:00:50.022Z,amr-03,1.163,78.8,47.9
2026-09-03T14:00:51.017Z,amr-01,0.000,89.4,31.5
2026-09-03T14:00:51.028Z,amr-02,1.590,39.9,34.5
2026-09-03T14:00:51.020Z,amr-03,0.956,78.7,48.1
2026-09-03T14:00:52.003Z,amr-01,0.732,89.3,32.0
2026-09-03T14:00:52.025Z,amr-02,1.195,39.6,34.2
